village,room,size,direction,price,age,area,position,id
北街家园五区,1房间1卫,18,东,900,2011年建板塔结合,昌平,沙河,101103000000
北街家园五区,1房间1卫,18,东,1100,2011年建板塔结合,昌平,沙河,101103000000
温泉花园B区,4室1厅,10,北,1460,1999年建板楼,昌平,北七家,BJ0004402625
国惠村,3室1厅,7,南,1560,板楼,昌平,东关,BJ0004391954
东关南里小区,5室1厅,10,南,1590,1999年建板楼,昌平,东关,BJ0003904646
国惠村,3室1厅,9,北,1590,板楼,昌平,东关,BJ0004391952
京科苑,3室1厅,12,北,1590,1998年建板楼,昌平,东关,BJ0004357446
东关南里小区,5室1厅,11,南,1630,1999年建板楼,昌平,东关,BJ0004131617
金隅万科城,3室1厅,9,东,1690,2010年建板塔结合,昌平,鼓楼大街,BJ0004379893
金色漫香苑,5室1厅,12,南,1690,2013年建板楼,昌平,北七家,BJ0004384460
京科苑,3室1厅,12,南,1690,1995年建板楼,昌平,东关,BJ0004373041
名流花园,4室1厅,13,北,1690,1998年建板楼,昌平,北七家,BJ0004393040
京科苑,3室1厅,12,南,1730,1994年建板楼,昌平,东关,BJ0004273642
京科苑,3室1厅,12,南,1730,1994年建板楼,昌平,东关,BJ0004273642
润杰经典创新园,3室1厅,13,南,1760,2002年建板楼,昌平,鼓楼大街,BJ0004373845
北亚花园,3室1厅,14,南,1760,1999年建板楼,昌平,北七家,BJ0004402627
蓬莱公寓东区,4室1厅,19,南,1760,2001年建板楼,昌平,北七家,BJ0004270650
水关新村,3室1厅,11,北,1760,1992年建板楼,昌平,东关,BJ0004383813
东关南里小区,3室1厅,10,南,1790,2000年建板楼,昌平,东关,BJ0004340107
新悦家园,3室1厅,13,南,1830,2003年建塔楼,昌平,鼓楼大街,BJ0004362921
国惠村,3室1厅,11,南,1860,板楼,昌平,东关,BJ0004391951
豆各庄小区,3室1厅,13,北,1890,板楼,昌平,沙河,BJ0004403989
天通苑东二区,4室1厅,11,北,1890,2001年建板楼,昌平,天通苑,BJ0004403858
温泉花园B区,4室1厅,14,南,1890,1999年建板楼,昌平,北七家,BJ0003425599
燕城苑南区,4室1厅,12,北,1930,2000年建板楼,昌平,北七家,BJ0004127753
金隅万科城,3室1厅,13,东,1930,2012年建板楼,昌平,鼓楼大街,BJ0004276443
桃园公寓,3室1厅,12,南,1930,1997年建板楼,昌平,北七家,BJ0004395100
天通苑东三区,3室1厅,9,南,1930,2002年建板楼,昌平,天通苑,BJ0004329140
水关新村,3室1厅,14,南,1960,1992年建板楼,昌平,东关,BJ0004383812
中国铁建青秀尚城,3室1厅,15,南,1990,距离昌平线南邵站419米,昌平,南邵,BJ0004405549
天通苑中苑,5室1厅,13,北,1990,2008年建板楼,昌平,天通苑,BJ0004403622
金隅万科城,3室1厅,17,南,1990,2010年建板塔结合,昌平,鼓楼大街,BJ0004364338
龙锦苑东一区,3室1厅,11,北,2090,2007年建板楼,昌平,霍营,BJ0004357114
豆各庄小区,5室1厅,12,南,2090,板楼,昌平,沙河,BJ0004388660
名佳花园三区,3室1厅,12,南,2090,2005年建板楼,昌平,北七家,BJ0004388908
保利罗兰香谷,3室1厅,16,北,2130,2012年建板楼,昌平,昌平其它,BJ0004356769
天通苑东三区,3室1厅,3,东,2130,2003年建塔楼,昌平,天通苑,BJ0004386367
天通苑东二区,4室1厅,14,北,2160,2001年建板楼,昌平,天通苑,BJ0004403857
天通苑东三区,4室1厅,12,南,2160,2002年建板楼,昌平,天通苑,BJ0004401596
名流花园,4室1厅,25,南,2160,1998年建板楼,昌平,北七家,BJ0004384695
天通苑东三区,3室1厅,14,西,2160,2003年建塔楼,昌平,天通苑,BJ0004395139
龙兴园北区,3室1厅,11,北,2190,2002年建板楼,昌平,回龙观,BJ0004357768
龙锦苑东一区,4室1厅,10,东,2190,2007年建板楼,昌平,霍营,BJ0004384328
天通苑东三区,7室2厅,16,南,2260,2002年建板楼,昌平,天通苑,BJ0004401592
天通苑东三区,7室2厅,16,南,2260,2002年建板楼,昌平,天通苑,BJ0004401592
龙跃苑三区,4室1厅,9,北,2290,2005年建板楼,昌平,回龙观,BJ0004400765
天通苑东三区,4室1厅,18,南,2290,2003年建板楼,昌平,天通苑,BJ0004356837
天鑫家园,4室1厅,10,南,2290,2002年建板楼,昌平,霍营,BJ0004399836
名流花园,4室1厅,24,南,2290,1998年建板楼,昌平,北七家,BJ0004393042
郝庄家园东区,1室1厅,50,南,2300,1998年建板楼,昌平,西关环岛,101103000000
名佳花园一区,2室1厅,12,南,2330,2002年建板楼,昌平,北七家,BJ0004383544
龙兴园北区,3室1厅,9,南,2330,2000年建板楼,昌平,回龙观,BJ0004385301
三合庄园,4室1厅,11,南,2360,2000年建板楼,昌平,回龙观,BJ0004366959
龙锦苑东二区,3室1厅,10,北,2360,2007年建板楼,昌平,霍营,BJ0004392822
龙兴园南区,4室1厅,7,北,2360,1999年建板楼,昌平,安宁庄,BJ0004389754
天通苑北二区,3室1厅,16,北,2360,2005年建板楼,昌平,天通苑,BJ0004373391
云趣园一区,4室1厅,11,南,2390,2000年建板楼,昌平,回龙观,BJ0004403820
旗胜家园,3室1厅,9,南,2390,2009年建板塔结合,昌平,西三旗,BJ0004400237
朱辛庄南区,3室1厅,12,南,2390,2007年建板楼,昌平,回龙观,BJ0004394541
流星花园三区,3室1厅,11,北,2390,2004年建板楼,昌平,回龙观,BJ0004229192
龙锦苑五区,6室1厅,12,南,2390,2005年建板楼,昌平,回龙观,BJ0004391394
龙锦苑五区,6室1厅,12,南,2390,2005年建板楼,昌平,回龙观,BJ0004391394
北街家园八区,1室0厅,65,东,2400,2010年建板塔结合,昌平,沙河,101103000000
溪城家园,3室1厅,10,南,2430,2010年建板塔结合,昌平,立水桥,BJ0004401488
矩阵二期,5室1厅,11,北,2430,2004年建板塔结合,昌平,回龙观,BJ0004219295
合立方,4室1厅,9,北,2460,2010年建板塔结合,昌平,立水桥,BJ0004354868
天通苑东三区,3室1厅,20,东,2460,2003年建塔楼,昌平,天通苑,BJ0004386368
蓝天园,3室1厅,10,西,2490,1998年建板楼,昌平,霍营,BJ0004276101
龙腾苑二区,4室1厅,10,北,2490,2003年建板楼,昌平,回龙观,BJ0004403319
龙腾苑四区,4室1厅,11,北,2490,2003年建板楼,昌平,回龙观,BJ0004398840
天通苑东三区,3室1厅,21,西,2490,2003年建塔楼,昌平,天通苑,BJ0004395140
龙兴园北区,3室1厅,11,南,2490,2000年建板楼,昌平,回龙观,BJ0004389051
毛纺厂宿舍,2室1厅,53,南 北,2500,1994年建,昌平,西关环岛,101103000000
霍营小区,3室1厅,14,南,2530,1994年建板楼,昌平,霍营,BJ0004301252
溪城家园,3室1厅,10,南,2530,2010年建板塔结合,昌平,立水桥,BJ0004401487
天通苑东三区,4室2厅,13,南,2560,2002年建板楼,昌平,天通苑,BJ0004365929
沙河药材仓库宿舍,2室1厅,54,南 北,2600,1984年建板楼,昌平,昌平其它,101103000000
龙锦苑六区,7室1厅,11,北,2630,2003年建板楼,昌平,回龙观,BJ0004405870
佳运园二期,3室1厅,11,南,2630,2005年建板楼,昌平,立水桥,BJ0004394950
龙锦苑东二区,3室1厅,15,南,2630,2007年建板楼,昌平,霍营,BJ0004392821
天通苑东二区,4室1厅,22,南,2660,2001年建板楼,昌平,天通苑,BJ0004403859
华龙苑南里,3室1厅,11,南,2660,1999年建板楼,昌平,霍营,BJ0004314230
首开智慧社,3室1厅,9,西,2690,2011年建板楼,昌平,回龙观,BJ0004365919
龙兴园北区,4室1厅,21,南,2690,2000年建板楼,昌平,回龙观,BJ0004403367
龙跃苑三区,4室1厅,16,南,2690,2005年建板楼,昌平,回龙观,BJ0004400696
龙跃苑三区,4室1厅,16,南,2690,2005年建板楼,昌平,回龙观,BJ0004400696
天鑫家园,4室1厅,16,南,2690,2002年建板楼,昌平,霍营,BJ0004397503
龙锦苑六区,3室1厅,20,南,2690,2003年建板楼,昌平,回龙观,BJ0004397501
天通苑东三区,6室2厅,17,南,2690,2002年建板楼,昌平,天通苑,BJ0004383696
新悦家园,1室0厅,38,南,2700,2003年建板楼,昌平,鼓楼大街,101103000000
龙跃苑一区,6室1厅,12,南,2730,2003年建板楼,昌平,回龙观,BJ0004396992
天通苑本六区,4室1厅,23,南,2760,2001年建板楼,昌平,天通苑,BJ0004401101
华龙苑北里,3室1厅,20,北,2790,2005年建板楼,昌平,霍营,BJ0004397473
华龙苑北里,3室1厅,20,北,2790,2005年建板楼,昌平,霍营,BJ0004397473
天露园一区,4室1厅,14,南,2790,2008年建板楼,昌平,回龙观,BJ0004268754
龙禧苑二区,3室1厅,14,南,2790,2004年建板楼,昌平,回龙观,BJ0004389052
融泽嘉园,3室1厅,11,南,2830,2014年建板楼,昌平,回龙观,BJ0004396872
万润家园,3室1厅,12,南,2830,2003年建板楼,昌平,回龙观,BJ0004393170
天通苑东二区,4室1厅,16,南,2890,2001年建板楼,昌平,天通苑,BJ0004403856
龙跃苑三区,6室1厅,15,南,2890,2005年建板楼,昌平,回龙观,BJ0004388216
融泽嘉园,3室1厅,12,南,2890,2014年建板塔结合,昌平,回龙观,BJ0004399088
龙锦苑六区,3室1厅,16,南,2890,2003年建板楼,昌平,回龙观,BJ0004397499
龙锦苑东二区,3室1厅,17,南,2890,2007年建板楼,昌平,霍营,BJ0004392823
龙锦苑东一区,4室1厅,18,南,2890,2007年建板楼,昌平,霍营,BJ0004384330
清秀园北区,1室1厅,44,南,2900,1993年建板楼,昌平,东关,101103000000
领秀慧谷C区,4室1厅,11,南,2960,板楼,昌平,回龙观,BJ0004355705
琥珀郡,1房间1卫,44,东,3000,2012年建板塔结合,昌平,西关环岛,101103000000
天通苑本三区,4室1厅,14,南,3030,1999年建板楼,昌平,天通苑,BJ0004402259
万润家园,3室1厅,15,南,3030,2003年建板楼,昌平,回龙观,BJ0004393171
龙跃苑东五区,3室1厅,11,北,3060,2006年建板楼,昌平,回龙观,BJ0004393345
天通苑东三区,3室1厅,22,东,3060,2003年建塔楼,昌平,天通苑,BJ0004386366
天通苑东三区,3室1厅,22,西,3090,2003年建塔楼,昌平,天通苑,BJ0004402416
云趣园一区,4室1厅,14,南,3130,2000年建板楼,昌平,回龙观,BJ0004396984
首开国风美唐三期,3室1厅,12,南,3130,2016年建板塔结合,昌平,回龙观,BJ0004354345
北京北,3室1厅,14,南,3160,2008年建板塔结合,昌平,立水桥,BJ0004403605
龙泽苑西区,4室1厅,15,南,3190,2000年建板楼,昌平,回龙观,BJ0004401990
天鑫家园,4室1厅,15,南,3190,2002年建板楼,昌平,霍营,BJ0004397502
龙锦苑六区,3室1厅,12,北,3190,2003年建板楼,昌平,回龙观,BJ0004397500
龙锦苑东一区,4室1厅,15,南,3190,2007年建板楼,昌平,霍营,BJ0004384327
水关新村,3室1厅,19,南,3190,1992年建板楼,昌平,东关,BJ0004383811
东环路小区,2室1厅,62,南,3200,1990年建板楼,昌平,东关,101103000000
建明里小区,1室1厅,69,南 北,3200,2004年建板楼,昌平,西关环岛,101103000000
龙跃苑二区,4室1厅,18,南,3290,板楼,昌平,回龙观,BJ0004390770
流星花园三区,3室1厅,16,南,3290,2006年建塔楼,昌平,回龙观,BJ0004383186
流星花园三区,4室1厅,13,南,3290,2008年建板楼,昌平,回龙观,BJ0004329167
田园风光雅苑,4室1厅,16,南,3330,2005年建板楼,昌平,回龙观,BJ0004384935
云趣园一区,3室1厅,9,南,3490,2000年建板楼,昌平,回龙观,BJ0004398034
水关新村,2室2厅,92,南 北,3500,1998年建板楼,昌平,东关,101103000000
天鑫家园,1室0厅,42,东,3500,2003年建板楼,昌平,霍营,101103000000
北店嘉园,3室1厅,19,南,3560,2003年建板楼,昌平,回龙观,BJ0004397167
天通西苑二区,4室1厅,18,西,3560,2003年建板楼,昌平,天通苑,BJ0004275963
北亚花园,2室1厅,80,南 北,3600,1999年建板楼,昌平,北七家,101103000000
融泽嘉园,3室1厅,19,北,3690,2014年建板塔结合,昌平,回龙观,BJ0004398446
龙泽苑西区,3室1厅,10,北,3790,2000年建板楼,昌平,回龙观,BJ0004395142
路劲世界城二期,2室1厅,67,南 北,4000,2014年建塔楼,昌平,南邵,101103000000
望都新地,2室1厅,64,南 北,4000,2008年建板楼,昌平,北七家,101103000000
东亚上北中心,1房间1卫,38,北,4000,2009年建板塔结合,昌平,回龙观,101103000000
红石座,1房间0卫,55,南,4000,4000,昌平,东关,101103000000
红石座,1房间0卫,57,南,4000,4000,昌平,东关,101103000000
西环里,2室1厅,74,南,4160,1999年建板楼,昌平,西关环岛,BJ0004381858
名佳花园三区,1室1厅,73,南,4200,2004年建板楼,昌平,北七家,BJ0004398000
龙城花园北二区,1室1厅,47,南,4300,2004年建板楼,昌平,回龙观,101103000000
水关新村,2室1厅,61,南,4490,1994年建板楼,昌平,东关,BJ0004393949
金隅万科城悦嘉公寓,1室1厅,74,南,4500,2013年建塔楼,昌平,鼓楼大街,101103000000
紫金新干线,1室1厅,46,南,4500,2009年建板楼,昌平,霍营,101103000000
保利紫荆香谷,2室2厅,85,南,4700,精装修,昌平,昌平其它,101103000000
长滩壹号,3室1厅,92,南 北,4800,2010年建板楼,昌平,南邵,101103000000
路劲世界城二期,2室1厅,85,南,4890,2014年建塔楼,昌平,南邵,BJ0004403621
红石座,2房间1卫,67,东,5000,2016年建,昌平,东关,101103000000
紫金新干线,2室1厅,89,南 北,5300,2009年建板楼,昌平,霍营,101103000000
矩阵二期,1室1厅,46,南,5390,2004年建板楼,昌平,回龙观,BJ0004401100
东亚上北中心,2房间1卫,60,南,5500,2009年建板塔结合,昌平,回龙观,101103000000
天通苑北一区,2室1厅,99,西北,5600,2004年建塔楼,昌平,天通苑,101103000000
龙乡东区,2室1厅,66,南,5700,1993年建板楼,昌平,西三旗,101103000000
北京北,1室1厅,60,西南,5800,2008年建板塔结合,昌平,立水桥,101103000000
首开国风美唐综合楼,1房间1卫,55,南,5800,2014年建塔楼,昌平,回龙观,101103000000
润枫欣尚,2房间1卫,69,西南,6000,2011年建塔楼,昌平,立水桥,101103000000
华龙苑中里,2室1厅,87,南 北,6000,2001年建板楼,昌平,霍营,101103000000
